;;DESTINATION;;;;;;;;;;;;;;;;;;;;;;;
TIME;FROM;Amstel;Amstelveenseweg;Buikslotermeer;Centraal;Dam;Evertsenstraat;Floradorp;Haarlemmermeerstation;Hasseltweg;Hendrikkade;Leidseplein;Lelylaan;Muiderpoort;Museumplein;RAI;Science Park;Sloterdijk;Surinameplein;UvA;VU;Waterlooplein;Weesperplein;Wibaustraat;Zuid
0:00;Amstel;0;1;0;0;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;2
0:15;Amstel;1;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;2;0;0;0;0
0:30;Amstel;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1
0:45;Amstel;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
1:00;Amstel;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1:15;Amstel;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0
1:30;Amstel;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0
1:45;Amstel;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2:00;Amstel;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0
2:15;Amstel;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2:45;Amstel;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3:00;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
3:15;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
3:30;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
3:45;Amstel;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
4:00;Amstel;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
4:15;Amstel;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0
4:30;Amstel;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0
4:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
5:00;Amstel;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
5:15;Amstel;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1
